countryName,EPRTRSectorCode,eprtrSectorName,EPRTRAnnexIMainActivityCode,EPRTRAnnexIMainActivityLabel,FacilityInspireID,facilityName,facilityNameConfidentialityReason,Longitude,Latitude,addressConfidentialityReason,City,targetRelease,pollutant,releasesConfidentialityReason,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Denmark,,,,,DK.CAED/000058387.FACILITY,Jens Axel Soerensen,,8.57822196637285,55.786748012678,,Oelgod,AIR,Ammonia (NH3),,,,,,,,,,,,20400,,,,
Denmark,,,,,DK.CAED/000062257.FACILITY,Knud Kjaer Knudsen,,11.7967659976926,55.5954968422912,,Toelloese,AIR,Ammonia (NH3),,,,,,,,,,,,,,,,13233.378
Denmark,,,,,DK.CAED/000062366.FACILITY,Danhatch A/S,,9.9655678088992,57.3413856892551,,Vraa,AIR,Ammonia (NH3),,,,,,,,,,,,11400,,,,
Denmark,,,,,DK.CAED/000063618.FACILITY,Henry Bjerregaard Jensen,,9.21218946988373,55.9745424542157,,Ejstrupholm,AIR,Ammonia (NH3),,,,,,,,,,,,,13570.426758,,18197,
Denmark,,,,,DK.CAED/000064060.FACILITY,Peder Rom Nielsen,,9.25890336071643,56.1719491326605,,Bording,AIR,Ammonia (NH3),,,,,,,,,,,,,,,,10468.019
Denmark,,,,,DK.CAED/000064455.FACILITY,KAeRBY AeG ApS,,9.01089950174205,55.9394801620477,,Brande,AIR,Ammonia (NH3),,,,,,,,,,,,,,,,20708.8
Denmark,,,,,DK.CAED/000064654.FACILITY,Oestergaard Hovedgaard v/Tommy Hensberg,,8.9878726218248,56.7629612243966,,Roslev,AIR,Ammonia (NH3),,,,,,,,,,,,,,,,23825.651
Denmark,,,,,DK.CAED/000068280.FACILITY,Claus Erland Nielsen,,8.98202734001613,55.3613271319873,,Roedding,AIR,Ammonia (NH3),,,,,,,,,,,,11300,,,,
Denmark,,,,,DK.CAED/000071624.FACILITY,Danhatch A/S ,,9.47435169970728,54.9416139612835,,Aabenraa,AIR,Ammonia (NH3),,,,,,,,,,,,19500,,,,
Denmark,,,,,DK.CAED/000075033.FACILITY,Preben Drastrup,,9.60145815505454,56.9085386657183,,Nibe,AIR,Ammonia (NH3),,,,,,,,,,,,,,,,10094.707
Denmark,,,,,DK.CAED/000076126.FACILITY,ENGHAVEGAARD ApS,,10.1479667944189,55.5492490634794,,Bogense,AIR,Ammonia (NH3),,,,,,,,,,,,,,13997,,
Denmark,,,,,DK.CAED/000076217.FACILITY,Hans Vestergaard Boesen,,10.1007997951454,55.4332831869114,,Veflinge,AIR,Ammonia (NH3),,,,,,,,,,,,,,10377,,
